0	1014	520	0.00509831	1169.98	943	458	0	0	0	0	0	0	0	1.12311	1169.98	1169.98	1169.98	1169.98	1169.98	1169.98	1169.98	1169.47
0	1014	520	0.00509831	919.404	945	508	0	0	0	0	0	0	0	1.2732	919.404	919.404	919.404	919.404	919.404	919.404	919.404	918.867
0	1014	520	0.00509831	273.228	967	499	0	0	0	0	0	0	0	1.99793	273.228	273.228	273.228	273.228	273.228	273.228	273.228	272.838
0	1014	520	0.00509831	1904.59	987	514	0	0	0	0	0	0	0	0.587426	1904.59	1904.59	1904.59	1904.59	1904.59	1904.59	1904.59	1903.76
0	1014	520	0.00509831	304.472	989	496	0	0	0	0	0	0	0	2.11564	304.472	304.472	304.472	304.472	304.472	304.472	304.472	304.151
0	1014	520	0.00509831	1432.21	991	503	0	0	0	0	0	0	0	0.729861	1432.21	1432.21	1432.21	1432.21	1432.21	1432.21	1432.21	1431.42
0	1014	520	0.00509831	131.166	997	532	0	0	0	0	0	0	0	2.10404	131.166	131.166	131.166	131.166	131.166	131.166	131.166	130.938
0	1014	520	0.00509831	1036.99	997	552	0	0	0	0	0	0	0	0.724526	1036.99	1036.99	1036.99	1036.99	1036.99	1036.99	1036.99	1036.16
0	1014	520	0.00509831	2179.42	1004	534	0	0	0	0	0	0	0	0.0426141	2179.42	2179.42	2179.42	2179.42	2179.42	2179.42	2179.42	2179.39
0	1014	520	0.00509831	1185.38	1005	533	0	0	0	0	0	0	0	0.078261	1185.38	1185.38	1185.38	1185.38	1185.38	1185.38	1185.38	1185.37
0	1014	520	0.00509831	1304.44	1005	534	0	0	0	0	0	0	1.04607	1.5299	1304.44	1304.44	1304.44	1304.44	1304.44	1304.44	1304.17	1302.65
0	1014	520	0.00509831	229.804	1009	519	0	0	0	0	0	0	0	1.0389	229.804	229.804	229.804	229.804	229.804	229.804	229.804	229.799
0	1014	520	0.00509831	718.35	1009	520	0	0	0	0	0	0	0.178943	0.650784	718.35	718.35	718.35	718.35	718.35	718.35	718.34	718.042
0	1014	520	0.00509831	1988.5	1009	521	0	0	0	0	0	0	0	0.0205925	1988.5	1988.5	1988.5	1988.5	1988.5	1988.5	1988.5	1988.49
0	1014	520	0.00509831	689.265	1010	519	0	0	0	0	0	0	0.137004	1.76694	689.265	689.265	689.265	689.265	689.265	689.265	689.241	689.085
0	1014	520	0.00509831	1523.95	1010	520	0	0	0	0	0	0.708265	2.50373	10.2034	1523.95	1523.95	1523.95	1523.95	1523.95	1523.46	1520.96	1510.12
0	1014	520	0.00509831	1812.73	1010	521	0	0	0	0	0	0	0.0970941	0.536912	1812.73	1812.73	1812.73	1812.73	1812.73	1812.73	1812.71	1812.5
0	1014	520	0.00509831	743.346	1011	511	0	0	0	0	0	0	0	1.4949	743.346	743.346	743.346	743.346	743.346	743.346	743.346	742.931
0	1014	520	0.00509831	1542.57	1011	520	0	0	0	0	0	0	0.155729	0.640565	1542.57	1542.57	1542.57	1542.57	1542.57	1542.57	1542.53	1542.14
0	1014	520	0.00509831	1238.36	1011	521	0	0	0	0	0	0	0	0.0902186	1238.36	1238.36	1238.36	1238.36	1238.36	1238.36	1238.36	1238.34
0	1014	520	0.00509831	104.418	1011	522	0	0	0	0	0	0	0	2.00483	104.418	104.418	104.418	104.418	104.418	104.418	104.418	104.213
0	1014	520	0.00509831	1882.31	1012	518	0	0	0	0	0	0	0.0262263	0.0573458	1882.31	1882.31	1882.31	1882.31	1882.31	1882.31	1882.3	1882.19
0	1014	520	0.00509831	1714.58	1012	519	0	0	0	0	0	0.0271242	0.252939	1.46285	1714.58	1714.58	1714.58	1714.58	1714.58	1714.55	1714.47	1713.83
0	1014	520	0.00509831	658.433	1012	520	0	0	0	0	0	0.462897	3.41265	13.1124	658.433	658.433	658.433	658.433	658.433	658.355	657.835	654.793
0	1014	520	0.00509831	528.745	1012	521	0	0	0	0	0.0379853	0.0738081	0.5929	2.51602	528.745	528.745	528.745	528.745	528.737	528.7	528.54	527.792
0	1014	520	0.00509831	973.203	1012	522	0	0	0	0	0	0	0	0.131728	973.203	973.203	973.203	973.203	973.203	973.203	973.203	973.153
0	1014	520	0.00509831	2288.64	1013	517	0	0	0	0	0	0	0	0.0294543	2288.64	2288.64	2288.64	2288.64	2288.64	2288.64	2288.64	2288.63
0	1014	520	0.00509831	2009.67	1013	518	0	0	0	0	0	0	0.155239	1.11888	2009.67	2009.67	2009.67	2009.67	2009.67	2009.67	2009.59	2009.1
0	1014	520	0.00509831	1145.7	1013	519	0	0	0	0	0.121338	1.12453	10.1452	28.1858	1145.7	1145.7	1145.7	1145.7	1145.64	1145.28	1141.8	1126.61
0	1014	520	0.00509831	1052.29	1013	520	0	0	0.125384	0.660792	3.0553	9.35081	38.9261	71.5315	1052.29	1052.29	1052.26	1052.04	1050.66	1044.18	1015.75	913.286
0	1014	520	0.00509831	374.513	1013	521	0	0	0.0487462	0.181969	0.818895	2.56697	14.4896	42.0348	374.513	374.513	374.504	374.477	374.342	373.738	371.098	358.906
0	1014	520	0.00509831	1158.95	1013	522	0	0	0	0	0	0	0.38957	2.41482	1158.95	1158.95	1158.95	1158.95	1158.95	1158.95	1158.85	1157.58
0	1014	520	0.00509831	3205.97	1013	523	0	0	0	0	0	0	0	0.0633994	3205.97	3205.97	3205.97	3205.97	3205.97	3205.97	3205.97	3205.94
0	1014	520	0.00509831	1211.46	1014	517	0	0	0	0	0	0	0.10864	0.580215	1211.46	1211.46	1211.46	1211.46	1211.46	1211.46	1211.44	1211.29
